Título|Año publicación|Tema|Tags|Sinopsis|Ilustrador|Género ilustrador|Descripción ilustrador|Escritor|Género escritor|Descripción escritor|Editorial|Tipo de editorial|Descripción editorial|Ciudad
Días de Mateo|2016|Amistad|Amistad, Mascota, Perro, Niña, Azul, Blanco, Vínculos, Diversión|Para que el vínculo con tu perro sea indeleble, sólo necesitas pintar de negro, blanco y azul los días que compartan juntos y expresar a través de sencillas palabras cómo tu vida sin tu amigo canino no será nunca la misma. \nCarla Prato, a través de ilustraciones que hablan por sí solas y de palabras que se viven como la vida misma, nos presenta “Días de Mateo”, un libro que hará eterna la amistad entre un perro y un humano.\nTomado de: https://www.albaricoquelibros.com/ideas-en-su-tinta|Carla Prato|Mujer|Carla Prato es la autora e ilustradora de «Días de Mateo». Ilustradora de nacionalidad venezolana y de corazón colombiano, que encontró en el libro álbum la forma perfecta  de querer a su mascota y cada cosa que le sucede.\nTomado de: www.albaricoquelibros.com/autores|Carla Prato|Mujer|Carla Prato es la autora e ilustradora de «Días de Mateo». Ilustradora de nacionalidad venezolana y de corazón colombiano, que encontró en el libro álbum la forma perfecta  de querer a su mascota y cada cosa que le sucede.\nTomado de: www.albaricoquelibros.com/autores|Albaricoque|Independiente|Albaricoque Libros es una editorial independiente, en crecimiento, que busca la producción de libros ilustrados de alta calidad literaria y estética que motiven, a cualquier edad, la interpretación significativa de imágenes y texto. Su nombre surge de la experiencia misma de la lectura de libros de este tipo, que siempre resultará dulce, única y trascendente. \nTomado de: Asociación Colombiana de Literatura Infantil y Juvenil – ACLIJ. “LIJ COLOMBIA 2015-2018. Libros infantiles y juveniles editados en Colombia”. iBooks. |Bogotá
Un gato de verdad|2015|Identidad|Gato, Diferencia, Identidad, Comparación, Reglas, Juego |¿Qué se necesita para ser un gato de verdad? ¿Maullar toda la noche? ¿Cazar ratoncillos? ¡O tal vez solo se necesite un poquito de imaginación! En este libro-álbum te encontrarás con la cotidianidad de un gato poco común que parece divertirse de manera insólita. ¿Tú has sido gato alguna vez? ¿Has odiado bañarte por las mañanas? Al final creemos que todos somos, en el fondo, un poco gatunos.\n Tomado de: http://www.luabooks.com/un-gato-de-verdad/|Eulalia Cornejo|Mujer|Nació en Quito en 1973. Es escritora, ilustradora y diseñadora gráfica. Se ha destacado con premios nacionales e internacionales en el campo de la ilustración para niños. Su estilo es cálido, con un cuidadoso manejo de técnicas manuales como acuarela y acrílico.\n Tomado de: www.loqueleo.com/ec/autores/eulalia-cornejo|Lizardo Carvajal|Hombre|Lizardo Carvajal es editor, escritor, animador e ilustrador colombiano. Ponente de literatura infantil y director creativo de la editorial LuaBooks.\nTomado de: www.luabooks.com/lizardo-carvajal/|LuaBooks|Independiente|Luabooks es una editorial colombiana que ofrece a niños, padres y maestros historias profundas que invitan a conocer y transformar el mundo. Son libros multi-idioma, animados, narrados y musicalizados que concilian las nuevas tecnologías y la lectura. En nuestro esquema de producción, los avances tecnológicos están al servicio de la construcción de sentido a través de todos los canales de comunicación de las personas. Nuestros libros se pueden leer, ver, escuchar, tocar, construir y narrar.\nTomado de: Asociación Colombiana de Literatura Infantil y Juvenil – ACLIJ. “LIJ COLOMBIA 2015-2018. Libros infantiles y juveniles editados en Colombia”. iBooks. |Cali
El abrigo|2013|Memoria|Olvido, distracción, Niña, Pérdida, Amistad|Julia suele olvidar sus cosas en casa y por eso, al salir, siempre se encuentra con algunas dificultades. Julia vive en la luna. Todos los días olvida algo nuevo: sus gafas, su sombrilla y ¡hasta sus botas para la lluvia! En su viaje por la memoria, ella tiene un compañero inseparable que le dará la clave para conjurar sus olvidos. Este es un libro para leer, jugar y disfrutar con los más pequeños. Contiene un afiche para colorear y compartir los mejores recuerdos.\nTomado de: http://www.reynaranjo.net/libros/abrigo.html|Andrea Sánchez Zuluaga|Mujer|Andrea Sánchez Zuluaga Colombia, 1990\nEs maestra en Artes Visuales de la Universidad Javeriana. El abrigo, su primer libro, fue seleccionado dentro del Programa de Estímulos del Instituto Distrital de las Artes, IDARTES. Ha ganado varios reconocimientos a nivel nacional, entre los que se destaca la Beca para proyectos editoriales en Artes plásticas y visuales (2014) de IDARTES y la Beca de creación para artistas emergentes (2015) del Ministerio de Cultura. Le encanta viajar, la playa y su compañera inseparable es una bicicleta verde heredada de su padre.\nTomado de: http://www.reynaranjo.net/libros/abrigo.html|Andrea Sánchez Zuluaga|Mujer|Andrea Sánchez Zuluaga Colombia, 1990\nEs maestra en Artes Visuales de la Universidad Javeriana. El abrigo, su primer libro, fue seleccionado dentro del Programa de Estímulos del Instituto Distrital de las Artes, IDARTES. Ha ganado varios reconocimientos a nivel nacional, entre los que se destaca la Beca para proyectos editoriales en Artes plásticas y visuales (2014) de IDARTES y la Beca de creación para artistas emergentes (2015) del Ministerio de Cultura. Le encanta viajar, la playa y su compañera inseparable es una bicicleta verde heredada de su padre.\nTomado de: http://www.reynaranjo.net/libros/abrigo.html|Rey Naranjo|Independiente|En Rey Naranjo tenemos como objetivo crear y producir contenidos imprescindibles con gran calidad visual, que dejen huella perenne en nuestros lectores. Hoy en día, cuando la avalancha de información nos inunda por todos los flancos, esperamos que nuestros proyectos sean piezas que los lectores deseen conservar para siempre. Creemos en los libros como una herramienta fundamental para educar y en la educación como arma contra la desigualdad. Somos generadores de contenido y estamos interesados en tender puentes de doble vía entre las historias y los autores colombianos y los contenidos valiosos de todo el mundo. ¡Porque a este mundo tan sordo hay que entrarle por los ojos!”\nTomado de: Asociación Colombiana de Literatura Infantil y Juvenil – ACLIJ. “LIJ COLOMBIA 2015-2018. Libros infantiles y juveniles editados en Colombia”. iBooks. |Bogotá
Los dinosaurios|2016|Cambios|Dinosaurios, Cambios, Padre, Historias, Ausencia, Aguadas|Un papá le cuenta historias de dinosaurios a su hijo, con ellas juegan y crean un mundo nuevo. Sin embargo, la vida sigue y mientras el hijo crece, el papá envejece. Un día papá ya no está y es el hijo quien luego cuenta las historias de dinosaurios. Es una historia sobre la vida, sobre las generaciones y sobre la imaginación.\n Tomado de: https://www.librosmrfox.com/product-page/los-dinosaurios-ana-mar%C3%ADa-d%C3%ADaz-manuela-fandi%C3%B1o|Manuela Fandiño|Mujer|Manuela Fandiño nació en Bogotá, tiene 21 años y es estudiante de artes plásticas de la Universidad Nacional de Colombia. Desde temprana edad le ha gustado el dibujo y la ilustración. También, siente una gran pasión por el grabado y la pintura, lo cual le ha llevado a crear un diálogo entre el lenguaje de la gráfica con el del arte dentro de su trabajo. En sus ilustraciones hay un interés por los detalles y la minucia.\nTomado de: elsalmoneditores.com/ilustradores|Ana María Díaz|Mujer|Es co-fundadora de El salmón editores y directora de proyectos de la editorial. Es egresada del programa de literatura de la Universidad de los Andes y escribe cuentos para niños, dos de ellos, La playa y Los dinosaurios, ya se han publicado con El salmón editores. En el 2011 fue seleccionada para participar en los talleres de crónica del Banco de la República en asociación con la Pontificia Universidad Javeriana y su crónica apareció en la publicación Memorias del agua en Bogotá.\nTomado de: http://elsalmoneditores.com/ilustradores|El Salmón Editores|Independiente|Somos una editorial independiente en Bogotá, Colombia y hacemos libros ilustrados. Tenemos como propósito promover la lectura, para esto hacemos libros que cualquiera pueda leer, que lleguen a cada esquina y en los que cada palabra esté medida.\nTomado de:  http://elsalmoneditores.com/quienes-somos|Medellín
Manual para cazar una idea|2015|Conflictos|Resolución, Ideas, Creatividad, Problemas, Búsqueda, Aventura|Un caza ideas transita por los terrenos de la imaginación en busca de una idea para dibujar. ¡Si al menos supiera dónde conseguir una! ¿Te imaginas cómo logrará atraparla?\nUn libro ilustrado para el desarrollo de la creatividad y la resolución de problemas.\nTomado de:  https://www.tragaluzeditores.com/libros/manual-para-cazar-una-idea/|Catalina Vázquez|Mujer|Catalina Vásquez es la ilustradora de uno de los libros más divertidos del fondo editorial de Tragaluz: ‘Manual para cazar una idea’.  Al igual que el protagonista de la historia -Benjamín, un niño urgido por encontrar una buena historia para dibujar-, Catalina busca imágenes del día a día que con un par de trazos saquen a relucir los chispazos de humor que vibran debajo de la superficie. Gracias a su pulso, los objetos cobran vida para contarnos lo que piensan de nosotros y nace una familia de personajes con la tarea de lidiar con los mismos problemas que nosotros: levantarse temprano, llegar a tiempo, permanecer despiertos en el trabajo, entre otros dramas cotidianos. Más de Catalina -también conocida como Kathiuska- en: http://kathiuska.tumblr.com/\nTomado de: www.tragaluzeditores.com/entrevista-dibujada-catalina-vasquez/|José Andrés Gómez|Hombre|Jose Andrés Gómez nació en Bucaramanga, el 2 de octubre de 1977. Creció en Medellín y pasó su adolescencia en Madrid, España, sitio que recuerda con mucha nostalgia. Desde pequeño se interesó por el cine de terror, siendo Cita con los Clásicos del Terror un programa de TV fundamental en su niñez. Al viajar a España, esa afición crece sin freno y aumenta a los cómics, la literatura y la música, y cuando regresa a Medellín, donde empezó a estudiar Biología, funda junto a otros amigos un cine club llamado Cinema Zombie. Luego de abandonar la biología estudia Comunicación Audiovisual y más tarde Panadería. Empieza a escribir para niños con Los Cuadernos del Doctor Calamar, y gana varias becas de creación de la Alcaldía de Medellín. Actualmente es profesor de guión en la Universidad Pontificia Bolivariana, en la carrera de Diseño Gráfico y continúa escribiendo, horneando y viendo cine y leyendo a toda hora.\n Tomado de: www.tragaluzeditores.com/autores/jose-andres-gomez/|Tragaluz|Independiente|Somos una editorial independiente colombiana. Desde 2005 publicamos libros que atraen por sus diseños y su contenido, libros en los que cada detalle importa. Hacemos libros que remiten a los primeros textos infantiles, entrañables, donde la lectura es una experiencia de todos los sentidos. Que nuestros libros sean para tocar, para sentir, que sean ilustrados, es nuestra forma de decir a los lectores: volvamos a esa primera lectura, donde todo sorprende, donde todo es descubrimiento.\nTomado de: www.tragaluzeditores.com/la-editorial/|Medellín
El perro de arena|2014|Tiempo|Fotografía, Correspondencia, Perro, Tiempo, Cambios, Despedida|En la correspondencia que le envía Clara a su prima queda registrado el hallazgo de un perro de arena. Por fortuna, en su cumpleaños, recibe de regalo una cámara fotográfica que le permite documentar los comportamientos de este ser extraño, cuya presencia la obliga a volver a la playa todos los días. Así que, además de los mensajes, Clara suma a sus descripciones las fotos del animal que amenaza con desaparecer entre las olas y las dunas y con cambiar para siempre la imagen que esta tiene del mar.\nLa idea original del relato es de la ilustradora Alejandra Estrada, quien convocó a la escritora Claudia Aguirre para darle forma a las cartas que atestiguan el paso fugaz del perro de arena. Alejandra también es la creadora de los dibujos del cuento.\nEsta obra fue ganadora de la X Convocatoria de Becas a la Creación Artística y Cultural, Medellín – 2013, en el área de literatura infantil, modalidad: creación en literatura infantil, libro ilustrado.\nTomado de: https://www.tragaluzeditores.com/libros/el-perro-de-arena/|Claudia Estrada|Mujer|Artista plástica y Magíster en Estética, he dedicado una parte de mi vida profesional a editar publicaciones para pequeñas instituciones culturales. Encuentro gran placer en la curaduría y la investigación visual, las cuales he desarrollado para algunos museos de mi ciudad y proyectos independientes. Ilustro, diseño, y pienso en proyectos artísticos constantemente.\nTomado de: alejandraestrada.co/bio/|Claudia Aguirre|Mujer|Claudia es una artista e ilustradora independiente que habita y sueña desde un pequeño rincón de la tierra, aunque en realidad es nómada de corazón. Lectora ávida, ama los gatitos, los monstruos, los universos fantásticos y las maravillas detrás de las pequeñas cosas. Maneja variedad de estilos en el dibujo, desde la ilustración para niños hasta la fantasía épica y la ciencia ficción, la aventura y la acción. Ha participado como ilustradora en numerosas aplicaciones y juegos para pequeños. Actualmente trabaja a tiempo completo como artista freelance. \nTomado de: www.boudikacomics.com|Tragaluz|Independiente|Somos una editorial independiente colombiana. Desde 2005 publicamos libros que atraen por sus diseños y su contenido, libros en los que cada detalle importa. Hacemos libros que remiten a los primeros textos infantiles, entrañables, donde la lectura es una experiencia de todos los sentidos. Que nuestros libros sean para tocar, para sentir, que sean ilustrados, es nuestra forma de decir a los lectores: volvamos a esa primera lectura, donde todo sorprende, donde todo es descubrimiento.\nTomado de: www.tragaluzeditores.com/la-editorial/|Medellín
Costuras|2013|Imaginación|Enfermedad, Recuperación, Cuidado, Curiosidad, Imaginación, Niña, Apendicitis|“Ana no podía ir al colegio porque le habían sacado el apéndice…”\nEste libro álbum es el producto de un diálogo entre un escritor y una dibujante que se encuentran para contar la historia de una niña que no puede ir al colegio porque le han sacado el apéndice. Esta situación sirve para explorar, a través del símbolo de la cicatriz de su cirugía, las relaciones entre el dolor y la memoria.\nDiseñado por Joni b\nCoedición con la Editorial Robot\nProyecto Ganador de la Beca para la Publicación de libro ilustrado, álbum, cómic, novela gráfica, dirigido a jóvenes entre 7 y 16 años.\nTomado de: lagunalibros.com/2013/costuras/|PowerPaola|Mujer|Powerpaola es conocida en varios países por sus trabajos con contenido gráfico cercanos al cómic, entre los que se destaca Virus Tropical, editado en tres tomos por La silueta, en donde cuenta el trayecto que va desde su concepción en Ecuador hasta su adolescencia en Colombia.\nTomado de: lagunalibros.com/2013/power-paola/|Alejandro Martín|Hombre|"Crecí en Cali en la Guadalupe con novena. Con mis vecinos de Los Guaduales me la pasé entre la piscina y las canchas de fútbol y voleibol, compitiendo por unas vecinas inalcanzables que no me enseñaron a bailar salsa. En mi casa me la pasé leyendo Agatha Christie y Tintín, en la televisión consumiendo insaciable la programación entera de los dos canales de entonces y la perubólica. Del Colegio Alemán me quedan tres fantásticos amigos, el recuerdo de la caída del muro como algo propio, y el número único de la revista Troya. En Bogotá, en la Universidad de los Andes, con la excusa de estudiar matemáticas encontré mi lugar en el universo de los nerds, y aprendí todo lo que tenía que aprender en el Cine Club ""En la luna"". En España coleccioné fotocopias de Leibniz (hasta llenar el álbum) mientras alimentaba mi melancolía con Bresson en la Filmoteca, veía cómo no perderme el Prado, y descubría el arte contemporáneo en el Reina Sofía. Un par de catalanes de Reus me dieron el curso básico de performances e instalaciones en la Ribera de Curtidores. De vuelta a Bogotá di clases universitarias de matemáticas, luego de filosofía, y hasta hace poco de artes. Con distintos amigos he hecho revistas comoOchoymedio y Piedepágina, exposiciones como Malicia Indígena (MAMM), Viaje al fondo de Cuervo (Biblioteca Nacional) yWaterweavers (BGC). Pasé cinco años rehaciendo el velo de penélope de la web del área cultural del Banco de la República y la Biblioteca Virtual de la Luis Ángel Arango. He realizado distintos catálogos para artistas como Regina Silveira y Maria Fernanda Cardoso, y últimamente me he divertido mucho haciendo carteles. En La Perseverancia intenté hacer una escalera infinita, pero al carpintero le quedó sólo de 15 metros, que igual levantamos con mucha dificultad. La mayoría de gente sólo la vio por Facebook. A mí me quedaron varias fotos y videos y unos buenos recuerdos.\nTomado de: www.lugaradudas.org/archivo/residentes/alejandro_martin.html"|Laguna Libros|Independiente|Laguna Libros es una editorial independiente colombiana que publica libros de arte y literatura. Nos interesa la historia entendida como la combinación de memoria y ficción.\nFundada en 2007\nTomado de: www.facebook.com/pg/lagunalibros/about/?ref=page_internal|Bogotá
El niño gato|2013|Identidad|Juego, Gato, Soledad, Imaginación, Fortaleza|Sin amigos, sin padres y encerrado en su interior, el personaje principal de este libro álbum descubre su lugar en el mundo mientras lucha contra sus bigotes y se esconde tras una caja de lápices.|Dipacho|Hombre|Dipacho (Bogotá, 1984) es diseñador grafico de la Universidad Nacional de Colombia y trabaja como autor e ilustrador de libros infantiles, actividad que complementa con el diseño de afiches y carteles. Su trabajo ha sido publicado por las editoriales Norma, Fondo de Cultura Económica, SM y Random House. Fue el ganador del concurso “A la orilla del viento” (FCE 2008) con su libro “Jacinto y María José”, obtuvo mención de honor en la Bienal de Ilustración de Bratislava (Eslovaquia) con sus libros “El animal más feroz” y “Todos se burlan”, y en diciembre de 2010 fue uno de los ganadores del Concurso de Libro Ilustrado de la Fundación CJ de Corea por su libro “Dos Pajaritos”. Sus afiches han ganado premios como el de la Cámara de Comercio de Bogotá y el de “Leer en familia” de Fundalectura. Actualmente reside entre Bogotá y Medellín. \n Tomado de: www.otraparte.org/actividades/arte/diego-sanchez.html|Triunfo Arciniegas|Hombre|Triunfo Arciniegas nació en Málaga, Santander, en 1957. Es licenciado en Literatura y vive a la orilla del camino de niebla de Monteadentro, en las afueras de Pamplona. Escribe con insistencia sobre gatos, bandidos, ángeles, vampiros y otros monstruos amados, en tardes de lluvia para matar la nostalgia y en noches de luna llena para alejar las pesadillas.\nHa publicado entre otras obras: El cadáver del sol, En concierto, La silla que perdió una pata y otras historias, El león que escribía cartas de amor, La media perdida, La sombra de la negra, El gato y la luna. Con Las batallas de Rosalino obtuvo el VII Premio Enka de Literatura Infantil; con Caperucita Roja y otras historias, el Premio Comfamiliar del Atlántico; con La muchacha de Transilvania y otras historias de amor, el Premio Nacional de Literatura de Colcultura y con La negra y el diablo, el Primer Premio Parker de Literatura infantil en 2003. Dirige el teatro de niñas La Manzana Azul y talleres de literatura en distintas ciudades.\nTomado de: www.panamericanaeditorial.com.co/52_arciniegas-triunfo|SM|Grande|El Catálogo de Literatura Infantil y Juvenil pertenece a SM. En él, lectores, padres, profesores, libreros... podrán encontrar todas las novedades publicadas por SM, así como todos los libros de fondo. También podrán estar informados de las noticias relacionadas con nuestros libros, autores, o mundo de la Literatura Infantil y Juvenil en general.\nTomado de: https://es.literaturasm.com/quienes-somos|Internacional
Bola de agua|2009|Tristeza|Tristeza, Agua, Mujer, Adultos, Emociones, Mente|Texto e imagen danzan a través de un acordeón de sensaciones. Tal vez literatura infantil, tal vez literatura para ese niño que en todos habita, eso lo dirá el lector. Un libro tan esmerado en sus textos, en sus ilustraciones, como en su diseño. un deleite para los sentidos.\nEste libro recibió uno de los galardones más importantes de América Latina: Ganador en Los mejores libros para niños y jóvenes 2012, libros originales, Banco del libro de Venezuela, una sección de IBBY.\nMas información: https://www.elmundo.com/portal/resultados/detalles/?idx=197273\nTomado de: https://www.tragaluzeditores.com/libros/bola-de-agua/|José Antonio Suárez Londoño|Hombre|José Antonio Suárez Londoño, dibujante, grabador e ilustrador. Nació en Medellín en 1955. Cuando le preguntan por su quehacer de artista, responde: “Trato de seguir al pie de la letra lo que un día le dijo Ingres a Degas: Haga líneas, sea de memoria, sea siguiendo un modelo, pero haga muchas líneas”. Estudió Biología en la Universidad de Antioquia hasta el tercer año, luego se graduó en la Escuela Superior de Artes Visuales en Ginebra (Suiza). Parte de su obra se encuentra en el MoMA de Nueva York, en la Graphische Sammlung de Viena y en la colección de arte del Banco de la República de Colombia. Para hablar de su obra, recurre a esta cita: “Como decía Degas: Felizmente no he encontrado mi estilo, ¡cuánto me aburriría si lo hubiera hecho!”. \nTomado de: https://www.tragaluzeditores.com/ilustradores/jose-antonio-suarez-londono/|Pilar Gutiérrez Llano|Mujer|(Medellín. 1967) Comunicadora social y periodista de la Universidad Pontificia Bolivariana de Medellín. Escritora y editora. Durante 10 años dirigió la empresa Clap Publicaciones dedicada al trabajo editorial. Ha publicado sus textos en la prensa y en varias antologías. \nSu libro Bola de agua recibió uno de los galardones más importantes de América Latina: Los mejores libros para niños y jóvenes 2012, del Banco del libro de Venezuela. Y con la publicación Mil orejas, ha sido merecedora de una mención especial en la categoría New horizons del BolognaRagazzi Award 2015. También fue seleccionada como uno de Los mejores libros para niños y jóvenes con discapacidad 2015, IBBY. Luego publicó el libro Pies atados y 48 palabras. Es la directora y fundadora de Tragaluz. \nTomado de: www.tragaluzeditores.com/autores/pilar-gutierrez-llano/|Tragaluz|Independiente|Somos una editorial independiente colombiana. Desde 2005 publicamos libros que atraen por sus diseños y su contenido, libros en los que cada detalle importa. Hacemos libros que remiten a los primeros textos infantiles, entrañables, donde la lectura es una experiencia de todos los sentidos. Que nuestros libros sean para tocar, para sentir, que sean ilustrados, es nuestra forma de decir a los lectores: volvamos a esa primera lectura, donde todo sorprende, donde todo es descubrimiento.\nTomado de: www.tragaluzeditores.com/la-editorial/|Medellín
Mi mascota|2011|Imaginación|Niño, Mascota, Elefante, Padre, Familia, Imaginación, Juego|¿Cual es la mejor mascota para un niño?, ¿qué mascota es capaz de hacer todo lo que él quiere en el momento en que se lo pide? Los graciosos versos de Yolanda Reyes, acompañados por las acuarelas de Rafael Yockteng develarán el misterio...\nTomado de: https://www.librosmrfox.com/product-page/mi-mascota-yolanda-reyes-y-rafael-yockteng|Rafael Yockteng|Hombre|Rafael Yockteng nació en 1976 en Lima, Perú. Estudió Diseño Gráfico en la Universidad Jorge Tadeo Lozano en Bogotá, Colombia, dónde supo que se dedicaría por completo al diseño. desde entonces, ha ilustrado varios libros para niños. En el año 2000 ganó la convocatoria Utopía (IBBY), dirigida a ilustradores latinoamericanos de textos infantiles. Algunos de sus libros han sido merecedores de importantes reconocimientos, como la Lista de Honor de IBBY, Lista White Ravens y los mejores libros del banco del libro de Venezuela.\nReseña tomada de Ekaré.|Yolanda Reyes|Mujer|Escritora y educadora nacida en Bucaramanga, Colombia, en 1959. Fue una de las fundadoras de Espantapájaros. Ha desarrollado un trabajo permanente de investigación en pedagogía de la lectura desde la primera infancia, un tema sobre el cual ha publicado ensayos y dictado conferencias en seminarios nacionales e internacionales. Ha asesorado a diversas organizaciones nacionales e internacionales en el diseño de programas y lineamientos sobre políticas de infancia, lectura y literatura. \nDirige la colección “Nidos para la Lectura” de Alfaguara, que ha rescatado, editado y divulgado un conjunto de obras destacadas de la literatura infantil, y dicta el curso “Escribir para niños” en el Máster a Distancia en Libros y Literatura de la Universidad Autónoma de Barcelona y el Banco del Libro de Venezuela.\nTomado de: espantapajaros.com/quienes-somos/nuestra-directora/|Babel Libros|Independiente|Babel Libros empezó en 2001 en Bogotá como distribuidora y librería, con la arquitecta María Osorio encabezando el proyecto. En 2005 se amplió el proyecto con su propio sello editorial. Se han destacado por hacer libros con tiempo, dedicación y cuidado, tienen un amplio catálogo, no solo de libro álbum, también ofrecen libros para jóvenes. Babel recibió en la Feria del Libro de Boloña el premio BOP para la Mejor Editorial Infantil y Juvenil en América Latina (Centro y Sur América). \nPágina web: babellibros.com.co/|Bogotá
Historias de Eusebio|1989|Miedos|Carlos Valencia editores, Amistad, Animales, Juego, Animales, Vínculos|En estas historias, que funcionan como los cuentos clásicos por la acumulación y la reiteración, conoceremos a Eusebio y sus amigos, un grupo de pequeños animales que movidos por la solidaridad y el afecto, viven situaciones significativas de la infancia.\nUna reedición de los 3 cuentos originales en un nuevo libro.|Ivar Da Coll|Hombre|Ivar Da Coll nace en Bogotá, Colombia, el 13 de marzo de 1962. Hijo de padre italiano y de madre hija de suecos. Realizó sus estudios de bachillerato en el Liceo Juan Ramón Jiménez. A los 12 años se vincula al grupo de teatro de títeres Cocoliche, con el que trabaja en diversos escenarios y en una serie de programas de televisión. Su formación como ilustrador y escritor de libros infantiles es autodidacta. En 1983 comienza a trabajar con distintas editoriales como ilustrador de libros de texto. En 1985 realiza para el Grupo Editorial Norma la serie de libros de imágenes Chigüiro, cuyo personaje central es un mamífero de la fauna suramericana, que alcanza una excelente acogida por parte de los lectores infantiles y adultos. Ese trabajo lo introduce de lleno en el mundo del libro infantil, en el que alterna la función de autor con la de ilustrador de textos creados por otros escritores. Ha publicado también con las editoriales Carlos Valencia Editores (Colombia), Alfaguara (Colombia-México), Ediciones Anaya (España), Ediciones Ekaré (Venezuela), Houghton Mifflin Company, Mc Graw-Hill, Simon & Schuster y Lectorum (Estados Unidos). Tres de sus libros (Tengo miedo, Torta de cumpleaños, Garabato) han sido traducidos al inglés por algunas de estas editoriales. \nTomado de: www.anniemate.com/ilustradorescolombianos/ilustradores_pro/Ivar_Da_Col.html|Ivar Da Coll|Hombre|Ivar Da Coll nace en Bogotá, Colombia, el 13 de marzo de 1962. Hijo de padre italiano y de madre hija de suecos. Realizó sus estudios de bachillerato en el Liceo Juan Ramón Jiménez. A los 12 años se vincula al grupo de teatro de títeres Cocoliche, con el que trabaja en diversos escenarios y en una serie de programas de televisión. Su formación como ilustrador y escritor de libros infantiles es autodidacta. En 1983 comienza a trabajar con distintas editoriales como ilustrador de libros de texto. En 1985 realiza para el Grupo Editorial Norma la serie de libros de imágenes Chigüiro, cuyo personaje central es un mamífero de la fauna suramericana, que alcanza una excelente acogida por parte de los lectores infantiles y adultos. Ese trabajo lo introduce de lleno en el mundo del libro infantil, en el que alterna la función de autor con la de ilustrador de textos creados por otros escritores. Ha publicado también con las editoriales Carlos Valencia Editores (Colombia), Alfaguara (Colombia-México), Ediciones Anaya (España), Ediciones Ekaré (Venezuela), Houghton Mifflin Company, Mc Graw-Hill, Simon & Schuster y Lectorum (Estados Unidos). Tres de sus libros (Tengo miedo, Torta de cumpleaños, Garabato) han sido traducidos al inglés por algunas de estas editoriales. \nTomado de: www.anniemate.com/ilustradorescolombianos/ilustradores_pro/Ivar_Da_Col.html|Babel Libros|Independiente|Babel Libros empezó en 2001 en Bogotá como distribuidora y librería, con la arquitecta María Osorio encabezando el proyecto. En 2005 se amplió el proyecto con su propio sello editorial. Se han destacado por hacer libros con tiempo, dedicación y cuidado, tienen un amplio catálogo, no solo de libro álbum, también ofrecen libros para jóvenes. Babel recibió en la Feria del Libro de Boloña el premio BOP para la Mejor Editorial Infantil y Juvenil en América Latina (Centro y Sur América). \nPágina web: babellibros.com.co/|Bogotá
El señor L. Fante|2006|Soledad|Ausencia, Familia, Soledad, Memoria, Tristeza, Elefante, Blanco y negro|Un libro que narra la soledad en la que vive el señor L. Fante, que se parece a todos nosotros en algún momento. a todos los que vivimos en grandes ciudades, donde, muchas veces, las compañías surgen de los escondrijos más inusitados, de los recuerdos más indómitos de la memoria. Un libro sobre la memoria, el olvido, sobre la inagotable capacidad del ser humano de recordar.\nTomado de: https://makemake.com.co/libros/MM0055/el-senor-l-fante/|Jairo Buitrago|Hombre|Escritor de libros álbum para niños, ilustrador e investigador de temas cinematográficos. Ha publicado los siguientes libros ilustrados : El señor L.Fante (2006), Emiliano (2007), Camino a Casa (2008), Eloísa y los bichos (2009), El Primer día (2010), Jimmy el más grande (2010), Cuentos desobedientes (2012), ¿Qué puedo decirte de los fantasmas? (2013), El mar (2014) y El Niño en el hotel al borde de la carretera ( 2014) y las novelas Las pesquisas comenzaron en Baker Street (2010) y Días de rock de garaje (2012). En el 2007 fue el ganador del 11 concurso de álbum Ilustrado A la Orilla del Viento del Fondo de Cultura Económica de México con Camino a Casa que igualmente fue seleccionado por la Lista de Honor del IBBY. 2010 Ha sido guionista de programas infantiles y trabaja en talleres de literatura y cine para niños y adultos.\nTomado de http://jairo-buitrago.blogspot.com/|Jairo Buitrago|Hombre|Escritor de libros álbum para niños, ilustrador e investigador de temas cinematográficos. Ha publicado los siguientes libros ilustrados : El señor L.Fante (2006), Emiliano (2007), Camino a Casa (2008), Eloísa y los bichos (2009), El Primer día (2010), Jimmy el más grande (2010), Cuentos desobedientes (2012), ¿Qué puedo decirte de los fantasmas? (2013), El mar (2014) y El Niño en el hotel al borde de la carretera ( 2014) y las novelas Las pesquisas comenzaron en Baker Street (2010) y Días de rock de garaje (2012). En el 2007 fue el ganador del 11 concurso de álbum Ilustrado A la Orilla del Viento del Fondo de Cultura Económica de México con Camino a Casa que igualmente fue seleccionado por la Lista de Honor del IBBY. 2010 Ha sido guionista de programas infantiles y trabaja en talleres de literatura y cine para niños y adultos.\nTomado de jairo-buitrago.blogspot.com/|Babel Libros|Independiente|Babel Libros empezó en 2001 en Bogotá como distribuidora y librería, con la arquitecta María Osorio encabezando el proyecto. En 2005 se amplió el proyecto con su propio sello editorial. Se han destacado por hacer libros con tiempo, dedicación y cuidado, tienen un amplio catálogo, no solo de libro álbum, también ofrecen libros para jóvenes. Babel recibió en la Feria del Libro de Boloña el premio BOP para la Mejor Editorial Infantil y Juvenil en América Latina (Centro y Sur América). \nPágina web: babellibros.com.co/|Bogotá
